Ticker,w_MV_allow,w_CVaR_allow,w_MV_long,w_CVaR_long
TAP,-0.04340608781628248,-0.04324835457889659,0.0,0.0
MDLZ,0.029798614439185078,0.006943433351746044,0.0,0.024499019184625267
MPWR,-0.032224099186782186,-0.037611792105757574,0.0,0.0
MNST,-0.04554465791828169,-0.06678339699583802,2.826283160790254e-19,0.0
MCO,-0.02298980299510947,0.012839684954677816,9.195090266746505e-20,0.0
MS,0.0573720207479189,0.08137061255085017,0.0,0.0
MOS,-0.01314549715725323,-0.031718014117876864,0.0,0.0
MSI,-0.057638681661976214,-0.05151450434904787,1.6598431190032226e-19,0.0
MSCI,0.0037010763010447345,-0.0376056441454214,9.187862009533155e-20,0.0
NDAQ,0.007445117369852175,-0.028103407010670434,3.426284175945032e-20,0.0
NTAP,0.03654608907935737,0.025131447541659288,0.012593199343291598,0.0
NFLX,0.018723571017752974,0.02852290121907883,0.0,0.0
NEM,-0.027408299094253418,-0.06000566581132989,0.0,0.0
NWSA,-0.05113728745158778,-0.04416174903847981,0.0,0.0
NWS,0.11276833072693211,0.10211070222750367,0.0,0.0
NEE,-0.019810041827777822,-0.050722629990117785,0.0,0.0
NKE,-0.013134843103220202,-0.015637423672087328,0.0,0.0
NI,-0.01783163273832426,-0.029368509934687308,1.0803694871481037e-19,0.0
NDSN,-0.011375962632626208,-0.042230822209812134,0.0,0.0
NSC,-0.04025485020328023,-0.05686944045745985,5.0022215642257123e-20,0.0
NTRS,-0.011166830400283502,-0.005551364350736097,2.8410046278651295e-20,0.0
NOC,0.05506084132332755,0.06802086955324288,0.011759718471736189,0.0
NCLH,-0.012916302817874998,0.004011568145677584,9.724155146674107e-21,0.0
NRG,-0.0278638562791492,-0.0074298460473265744,0.0,0.0
NUE,-0.02456524835190115,-0.021115573321767705,0.0,0.0
NVDA,0.010824644193674729,0.01552390042154876,0.004408083350052112,0.03950517418580928
NVR,-0.005353721364801518,0.0706565380222955,0.0,0.03584442879420173
